Dataset,Classifier,n_neighbors,weights,algorithm,leaf_size,p,metric,bootstrap,C,kernel,degree,gamma,coef0,shrinking,shrinkage,class_weight,decision_function_shape,random_state,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,oob_score,warm_start,learning_rate,n_restarts_optimizer,max_iter_predict,max_features,copy_X_train,multi_class,reg_param,tol,loss,subsample,min_weight_fraction_leaf,n_estimators,penalty,dual,fit_intercept,intercept_scaling,solver,max_iter,alpha,shuffle,max_leaf_nodes,early_stopping,n_iter_no_change,fit_prior,norm,eta0,var_smoothing,presort,min_impurity_decrease,Train accuracy,Train recall,Train precision,Train f1_score,Train time,Test accuracy,Test recall,Test precision,Test f1_score,Test time
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,70,17,20,,,,,,0.45615033221654855,,,,,,,,,,,,,,,,,98,,,,,,,,0.8700121482468192,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.0032473450992256403,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0007107800338417292
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,entropy,,50,2,8,,,,,,0.9446689170495839,,,,,,,,,,,,,,,,,,,,,,,,,0.7781567509498505,0.28679653679653677,0.28679653679653677,0.28679653679653677,0.28679653679653677,0.011940218042582273,0.2813852813852814,0.2813852813852814,0.2813852813852814,0.2813852813852814,0.0007218511309474707
Datasets_all/phpyM5ND4.csv,sklearn.DecisionTreeClassifier,,,,,,,,,,,,,,,,,0,gini,,30,11,2,,,,,,0.6399210213275238,,,,,,,,,,,,,,,,,175,,,,,,,,0.0,0.9826839826839827,0.9826839826839827,0.9826839826839827,0.9826839826839827,0.010833424050360918,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.9567099567099567,0.0007496178150177002
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,30,11,15,,False,,,,0.2103825610738409,,,,,,,,333,,,,,,,,,267,,,,,,,,20.88767560948347,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.5406534259673208,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.025413113180547953
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,10,16,15,,False,,,,0.1289262976548533,,,,,,,,324,,,,,,,,,947,,,,,,,,65.31083254653984,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.32189600891433656,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.029054176062345505
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,,19,15,,False,,,,0.10204481074802807,,,,,,,,369,,,,,,,,,441,,,,,,,,9.710127579306127,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.3372430792078376,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.028053255984559655
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,10,8,1,,False,,,,0.6706378696181594,,,,,,,,261,,,,,,,,,138,,,,,,,,25.329160253978213,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.5665622600354254,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.02020106790587306
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,70,10,20,,False,,,,0.43860151346232035,,,,,,,,482,,,,,,,,,63,,,,,,,,82.09932298479352,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.8067844598554075,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.03717866004444659
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,10,16,12,,False,,,,0.6667667154456677,,,,,,,,252,,,,,,,,,627,,,,,,,,83.7944907498804,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,1.1152020271401852,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.01962369494140148
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,10,9,8,,False,,,,0.43860151346232035,,,,,,,,482,,,,,,,,,161,,,,,,,,11.037514116430513,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,1.5428642048500478,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.03635355504229665
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,30,16,5,,False,,,,0.1289262976548533,,,,,,,,324,,,,,,,,,109,,,,,,,,46.63107728563063,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.34502009907737374,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.02900013909675181
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,30,16,15,,False,,,,0.1289262976548533,,,,,,,,57,,,,,,,,,554,,,,,,,,36.872517066096414,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.0786956821102649,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.005185585934668779
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,entropy,,30,7,20,,False,,,,0.10204481074802807,,,,,,,,57,,,,,,,,,898,,,,,,,,19.65823616800535,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.05910958582535386,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.00513429706916213
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,gini,,50,9,8,,False,,,,0.10204481074802807,,,,,,,,221,,,,,,,,,857,,,,,,,,65.31083254653984,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.2153359439689666,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.020779393846169114
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,gini,,,19,2,,False,,,,0.10204481074802807,,,,,,,,98,,,,,,,,,433,,,,,,,,36.872517066096414,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.09223968000151217,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.009488333947956562
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,20,18,5,,False,,,,0.5701967704178796,,,,,,,,324,,,,,,,,,707,,,,,,,,0.0,0.9935064935064936,0.9935064935064936,0.9935064935064936,0.9935064935064936,4.643716261954978,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.03306474909186363
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,entropy,,10,10,2,,False,,,,0.2103825610738409,,,,,,,,302,,,,,,,,,947,,,,,,,,20.88767560948347,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.4342579310759902,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.02351357787847519
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,entropy,,70,18,1,,False,,,,0.31542835092418386,,,,,,,,333,,,,,,,,,807,,,,,,,,82.09932298479352,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.63105000811629,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.026083474047482014
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,entropy,,30,9,12,,False,,,,0.6706378696181594,,,,,,,,98,,,,,,,,,520,,,,,,,,65.63295894652734,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.34017269196920097,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.00837794505059719
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,gini,,30,11,12,,False,,,,0.5701967704178796,,,,,,,,406,,,,,,,,,765,,,,,,,,20.88767560948347,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.635668806033209,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.03143795998767018
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,70,19,20,,False,,,,0.3637107709426226,,,,,,,,57,,,,,,,,,669,,,,,,,,83.7944907498804,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.08339128992520273,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.005127712152898312
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,,7,5,,False,,,,0.1289262976548533,,,,,,,,302,,,,,,,,,452,,,,,,,,16.130951788499626,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.40343846986070275,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.023251278093084693
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,gini,,,16,2,,False,,,,0.43860151346232035,,,,,,,,97,,,,,,,,,669,,,,,,,,83.7944907498804,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.1631765360943973,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.008089320035651326
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,,18,1,,False,,,,0.3637107709426226,,,,,,,,80,,,,,,,,,724,,,,,,,,25.329160253978213,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.20620172400958836,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.006793679902330041
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,gini,,20,11,15,,False,,,,0.3637107709426226,,,,,,,,19,,,,,,,,,138,,,,,,,,15.896958364551972,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.02607183693908155,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.002366337925195694
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,entropy,,10,16,1,,False,,,,0.6667667154456677,,,,,,,,127,,,,,,,,,331,,,,,,,,0.0,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,1.5168780020903796,0.9718614718614719,0.9718614718614719,0.9718614718614719,0.9718614718614719,0.013296723132953048
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,False,,,,,,,,,,0,entropy,,30,16,20,,False,,,,0.9883738380592262,,,,,,,,127,,,,,,,,,,,,,,,,,16.130951788499626,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.7852631900459528,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.010724578984081745
Datasets_all/phpyM5ND4.csv,sklearn.RandomForestClassifier,,,,,,,True,,,,,,,,,,0,entropy,,50,10,1,,False,,,,0.2103825610738409,,,,,,,,57,,,,,,,,,553,,,,,,,,19.65823616800535,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.14935064935064934,0.08762509399093688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.0051219831220805645
